,Date,ARIMA_Forecast_mm,LSTM_Forecast_mm,Rain_Category
2025-04-18,2025-04-18,0.8829043558047336,2.2616072,Light rain (drizzle)
2025-04-19,2025-04-19,0.7597382154383056,3.3394182,Light rain
2025-04-20,2025-04-20,1.211398321872406,3.711396,Light rain
2025-04-21,2025-04-21,0.5311517670508501,4.049291,Light rain
2025-04-22,2025-04-22,1.4263607639069302,4.4154806,Light rain
2025-04-23,2025-04-23,0.358113334051394,4.798016,Light rain
2025-04-24,2025-04-24,1.5352182588335253,5.190627,Light rain
2025-04-25,2025-04-25,0.3008465102454356,5.5913157,Light rain
2025-04-26,2025-04-26,1.5199871757618992,5.999463,Light rain
2025-04-27,2025-04-27,0.36839954102209616,6.4146614,Light rain
2025-04-28,2025-04-28,1.3853596030747735,6.8360705,Light rain
2025-04-29,2025-04-29,0.5438828220715752,7.263617,Light rain
2025-04-30,2025-04-30,1.1596186191279187,7.6964293,Moderate rain
2025-05-01,2025-05-01,0.789210456560052,8.133584,Moderate rain
2025-05-02,2025-05-02,0.8886291140755544,8.574186,Moderate rain
2025-05-03,2025-05-03,1.0531446692466777,9.017309,Moderate rain
2025-05-04,2025-05-04,0.6263492153224918,9.461985,Moderate rain
2025-05-05,2025-05-05,1.281770964570433,9.90722,Moderate rain
2025-05-06,2025-05-06,0.4239160231494634,10.351996,Moderate rain
2025-05-07,2025-05-07,1.4292949205533199,10.795281,Moderate rain
2025-05-08,2025-05-08,0.3195128845648907,11.236039,Moderate rain
2025-05-09,2025-05-09,1.4670037405969159,11.673235,Moderate rain
2025-05-10,2025-05-10,0.3310216589480657,12.10544,Moderate rain
2025-05-11,2025-05-11,1.388643856284748,12.516885,Moderate rain
2025-05-12,2025-05-12,0.45286804752333554,12.920091,Moderate rain
2025-05-13,2025-05-13,1.2112151547806307,13.3293915,Moderate rain
2025-05-14,2025-05-14,0.6576042224596739,13.7342825,Moderate rain
2025-05-15,2025-05-15,0.9711157854769836,14.130635,Moderate rain
2025-05-16,2025-05-16,0.901818096077539,14.517248,Moderate rain
2025-05-17,2025-05-17,0.7164992645181897,14.893427,Moderate rain
2025-05-18,2025-05-18,1.1351047139371073,15.258424,Moderate rain
2025-05-19,2025-05-19,0.4974429900400721,15.608228,Moderate rain
2025-05-20,2025-05-20,1.3102505424995092,15.943671,Moderate rain
2025-05-21,2025-05-21,0.3559312035005122,16.26605,Moderate rain
2025-05-22,2025-05-22,1.3925769466891373,16.575552,Moderate rain
2025-05-23,2025-05-23,0.31765210741613137,16.872095,Moderate rain
2025-05-24,2025-05-24,1.3665980085980645,17.155632,Moderate rain
2025-05-25,2025-05-25,0.38720713294914955,17.426195,Moderate rain
2025-05-26,2025-05-26,1.2387200938740623,17.683897,Moderate rain
2025-05-27,2025-05-27,0.5476183025654726,17.928907,Moderate rain
2025-05-28,2025-05-28,1.035524889377652,18.16146,Moderate rain
2025-05-29,2025-05-29,0.7641453782890089,18.381832,Moderate rain
2025-05-30,2025-05-30,0.7980668851858244,18.590338,Moderate rain
2025-05-31,2025-05-31,0.9915654906993848,18.787333,Moderate rain
2025-06-01,2025-06-01,0.573401758161344,18.973196,Moderate rain
2025-06-02,2025-06-02,1.1833950626499044,19.14833,Moderate rain
2025-06-03,2025-06-03,0.40508940653980074,19.313162,Moderate rain
2025-06-04,2025-06-04,1.301177407469069,19.468111,Moderate rain
2025-06-05,2025-06-05,0.3245846124541445,19.613625,Moderate rain
2025-06-06,2025-06-06,1.3219840501378908,19.750132,Moderate rain
2025-06-07,2025-06-07,0.3452129558052266,19.878077,Moderate rain
2025-06-08,2025-06-08,1.2426710089147843,19.997885,Moderate rain
2025-06-09,2025-06-09,0.45988031657094863,20.109991,Moderate rain
2025-06-10,2025-06-10,1.0801072238769551,20.2148,Moderate rain
2025-06-11,2025-06-11,0.6428972515857116,20.312748,Moderate rain
2025-06-12,2025-06-12,0.8674106507455952,20.404219,Moderate rain
2025-06-13,2025-06-13,0.8554719383550755,20.489576,Moderate rain
2025-06-14,2025-06-14,0.6470223292693706,20.569178,Moderate rain
2025-06-15,2025-06-15,1.0537033654205001,20.643366,Moderate rain
2025-06-16,2025-06-16,0.4620620903508281,20.712471,Moderate rain
2025-06-17,2025-06-17,1.1974317590600487,20.776812,Moderate rain
2025-06-18,2025-06-18,0.34772291924163024,20.836685,Moderate rain
2025-06-19,2025-06-19,1.2581654797399615,20.89239,Moderate rain
2025-06-20,2025-06-20,0.32441794092319,20.944191,Moderate rain
2025-06-21,2025-06-21,1.2245234691913043,20.992352,Moderate rain
2025-06-22,2025-06-22,0.394010286881076,21.037113,Moderate rain
2025-06-23,2025-06-23,1.1041587793868581,21.078701,Moderate rain
2025-06-24,2025-06-24,0.5398150501321466,21.117329,Moderate rain
2025-06-25,2025-06-25,0.9218507000576406,21.1532,Moderate rain
2025-06-26,2025-06-26,0.7302970499404386,21.1865,Moderate rain
2025-06-27,2025-06-27,0.7142227263183841,21.21741,Moderate rain
2025-06-28,2025-06-28,0.925653241834838,21.246094,Moderate rain
2025-06-29,2025-06-29,0.5222067380004669,21.272705,Moderate rain
2025-06-30,2025-06-30,1.0859101387350185,21.297388,Moderate rain
2025-07-01,2025-07-01,0.382800307850377,21.320288,Moderate rain
2025-07-02,2025-07-02,1.1788922856610633,21.341518,Moderate rain
2025-07-03,2025-07-03,0.3217737838758066,21.361208,Moderate rain
2025-07-04,2025-07-04,1.1864765982037593,21.379456,Moderate rain
2025-07-05,2025-07-05,0.3487612114925229,21.396378,Moderate rain
2025-07-06,2025-07-06,1.1079208224054362,21.412054,Moderate rain
2025-07-07,2025-07-07,0.4556653101183079,21.426584,Moderate rain
2025-07-08,2025-07-08,0.9596617575629325,21.44005,Moderate rain
2025-07-09,2025-07-09,0.6186276517042497,21.452528,Moderate rain
2025-07-10,2025-07-10,0.771694471026404,21.464088,Moderate rain
2025-07-11,2025-07-11,0.8030997401950616,21.474796,Moderate rain
2025-07-12,2025-07-12,0.5813227617272068,21.48472,Moderate rain
2025-07-13,2025-07-13,0.9709421519995258,21.493908,Moderate rain
2025-07-14,2025-07-14,0.42557903061903013,21.502419,Moderate rain
2025-07-15,2025-07-15,1.08809637373847,21.510303,Moderate rain
2025-07-16,2025-07-16,0.3338507307367824,21.517605,Moderate rain
2025-07-17,2025-07-17,1.131289138733108,21.524366,Moderate rain
2025-07-18,2025-07-18,0.3221784811805779,21.530626,Moderate rain
2025-07-19,2025-07-19,1.0924528328566085,21.536427,Moderate rain
2025-07-20,2025-07-20,0.3903283611675987,21.541792,Moderate rain
2025-07-21,2025-07-21,0.98002711698376,21.546762,Moderate rain
2025-07-22,2025-07-22,0.5221659410841204,21.551367,Moderate rain
2025-07-23,2025-07-23,0.816945152525524,21.55563,Moderate rain
2025-07-24,2025-07-24,0.6891910955624923,21.559576,Moderate rain
2025-07-25,2025-07-25,0.6357723921857996,21.563227,Moderate rain
2025-07-26,2025-07-26,0.8564656676383402,21.56661,Moderate rain
2025-07-27,2025-07-27,0.4720238581190048,21.569744,Moderate rain
2025-07-28,2025-07-28,0.9897047074801635,21.572641,Moderate rain
2025-07-29,2025-07-29,0.35702814093094615,21.575325,Moderate rain
2025-07-30,2025-07-30,1.0620948886734827,21.577808,Moderate rain
2025-07-31,2025-07-31,0.3117691456650804,21.580109,Moderate rain
2025-08-01,2025-08-01,1.059486965404023,21.582237,Moderate rain
2025-08-02,2025-08-02,0.3429129966033275,21.584204,Moderate rain
2025-08-03,2025-08-03,0.9829603427610791,21.586033,Moderate rain
2025-08-04,2025-08-04,0.44176781047228797,21.587719,Moderate rain
2025-08-05,2025-08-05,0.8483016177795875,21.589281,Moderate rain
2025-08-06,2025-08-06,0.5863246066797385,21.590729,Moderate rain
2025-08-07,2025-08-07,0.6825630826868521,21.592068,Moderate rain
2025-08-08,2025-08-08,0.7459106983919009,21.593306,Moderate rain
2025-08-09,2025-08-09,0.5184456838258245,21.594456,Moderate rain
2025-08-10,2025-08-10,0.8874757786859233,21.59552,Moderate rain
2025-08-11,2025-08-11,0.3876694466620193,21.596502,Moderate rain
2025-08-12,2025-08-12,0.982225299992279,21.59741,Moderate rain
2025-08-13,2025-08-13,0.3146727348787377,21.598255,Moderate rain
2025-08-14,2025-08-14,1.0112724044424812,21.599033,Moderate rain
2025-08-15,2025-08-15,0.3118892022705495,21.599752,Moderate rain
2025-08-16,2025-08-16,0.9692019569235568,21.600422,Moderate rain
2025-08-17,2025-08-17,0.3775118026483939,21.601042,Moderate rain
2025-08-18,2025-08-18,0.8648785234784593,21.601608,Moderate rain
2025-08-19,2025-08-19,0.49613936110719803,21.60214,Moderate rain
2025-08-20,2025-08-20,0.7193927465884149,21.602629,Moderate rain
2025-08-21,2025-08-21,0.6421188790171447,21.603086,Moderate rain
2025-08-22,2025-08-22,0.5616128902838822,21.603502,Moderate rain
2025-08-23,2025-08-23,0.7848633567164466,21.603893,Moderate rain
2025-08-24,2025-08-24,0.42227612681131466,21.604254,Moderate rain
2025-08-25,2025-08-25,0.8950457694682894,21.60459,Moderate rain
2025-08-26,2025-08-26,0.3278263028291519,21.604895,Moderate rain
2025-08-27,2025-08-27,0.9504173691465255,21.605179,Moderate rain
2025-08-28,2025-08-28,0.29523116130442273,21.605444,Moderate rain
2025-08-29,2025-08-29,0.9400985252747391,21.605688,Moderate rain
2025-08-30,2025-08-30,0.328792024974389,21.605917,Moderate rain
2025-08-31,2025-08-31,0.866517850414827,21.606125,Moderate rain
2025-09-01,2025-09-01,0.419541552678504,21.606318,Moderate rain
2025-09-02,2025-09-02,0.7446605363911194,21.606497,Moderate rain
2025-09-03,2025-09-03,0.5472975022420394,21.606663,Moderate rain
2025-09-04,2025-09-04,0.5988298113526824,21.606817,Moderate rain
2025-09-05,2025-09-05,0.6849098357422094,21.606958,Moderate rain
2025-09-06,2025-09-06,0.4576168564000391,21.60709,Moderate rain
2025-09-07,2025-09-07,0.8038107696413822,21.60721,Moderate rain
2025-09-08,2025-09-08,0.34811751043183237,21.607325,Moderate rain
2025-09-09,2025-09-09,0.8797356633263506,21.607428,Moderate rain
2025-09-10,2025-09-10,0.2905632858168994,21.607527,Moderate rain
2025-09-11,2025-09-11,0.8974713749961718,21.607615,Moderate rain
2025-09-12,2025-09-12,0.29442817378076036,21.6077,Moderate rain
2025-09-13,2025-09-13,0.8537055019471815,21.607775,Moderate rain
2025-09-14,2025-09-14,0.3567572997388473,21.607843,Moderate rain
